#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 11:15:25 2022
#Time	Period	Transit time
#[s]	[s]	[s]
394.440240	2.117619	0.056136
395.499137	2.117649	0.056262
396.557889	2.117567	0.056378
397.616704	2.117555	0.056500
398.675444	2.117551	0.056612
399.734255	2.117568	0.056726
400.793012	2.117585	0.056832
401.851840	2.117598	0.056924
402.910610	2.117599	0.057056
403.969439	2.117584	0.057174
405.028194	2.117311	0.057288
406.086750	2.117477	0.057384
407.145671	2.117831	0.057410
408.204581	2.117425	0.057574
409.263096	2.117411	0.057788
410.321992	2.117591	0.057912
411.380687	2.117460	0.058030
412.439452	2.117447	0.058156
413.498134	2.117479	0.058276
414.556931	2.117486	0.058382
415.615620	2.117475	0.058496
416.674406	2.117453	0.058624
417.733073	2.117390	0.058746
418.791796	2.117374	0.058856
419.850447	2.117371	0.058974
420.909167	2.117460	0.059106
421.967907	2.117499	0.059234
423.026666	2.117399	0.059340
424.085306	2.117377	0.059460
425.144043	2.117373	0.059590
426.202679	2.117382	0.059714
427.261425	2.117388	0.059830
428.320067	2.117407	0.059926
429.378832	2.117448	0.060052
430.437515	2.117431	0.060194
431.496263	2.117397	0.060310
432.554912	2.117370	0.060416
433.613633	2.117374	0.060526
434.672286	2.117381	0.060656
435.731014	2.117376	0.060796
436.789662	2.117357	0.060908
437.848371	2.117347	0.061022
438.907009	2.117336	0.061158
439.965707	2.117336	0.061282
441.024345	2.117356	0.061402
442.083063	2.117336	0.061522
443.141681	2.117293	0.061654
444.200356	2.117267	0.061784
445.258948	2.117283	0.061872
446.317639	2.117344	0.061990
447.376292	2.117327	0.062124
448.434966	2.117282	0.062252
449.493574	2.117324	0.062408
450.552290	2.117372	0.062440
451.610946	2.117291	0.062604
452.669581	2.117150	0.062842
453.728096	2.117197	0.062924
454.786778	2.117252	0.063056
455.845348	2.117237	0.063180
456.904015	2.117247	0.063302
457.962595	2.117221	0.063438
459.021236	2.117193	0.063576
460.079788	2.117198	0.063708
461.138434	2.117239	0.063820
462.197027	2.117247	0.063950
463.255681	2.117219	0.064110
464.314246	2.117212	0.064240
465.372893	2.117189	0.064330
466.431435	2.117194	0.064466
467.490087	2.117195	0.064602
468.548630	2.117195	0.064716
469.607282	2.117204	0.064852
470.665834	2.117169	0.064988
471.724451	2.117160	0.065118
472.782994	2.117168	0.065264
473.841619	2.117179	0.065402
474.900173	2.117130	0.065534
475.958749	2.117099	0.065650
477.017272	2.117119	0.065776
478.075868	2.117109	0.065912
479.134381	2.117105	0.066042
480.192973	2.117092	0.066190
481.251473	2.117066	0.066318
482.310039	2.117039	0.066450
483.368512	2.117054	0.066592
484.427093	2.117099	0.066734
485.485611	2.117110	0.066850
486.544203	2.117078	0.066978
487.602689	2.117079	0.067134
488.661282	2.117070	0.067276
489.719759	2.117034	0.067410
490.778316	2.117056	0.067552
491.836815	2.117010	0.067694
492.895326	2.116992	0.067684
493.953807	2.117075	0.067834
495.012401	2.117037	0.068126
496.070844	2.116943	0.068268
497.129344	2.116943	0.068408
498.187787	2.116963	0.068566
499.246307	2.116967	0.068718
500.304754	2.116989	0.068852
501.363296	2.116973	0.069000
502.421727	2.116959	0.069150
503.480255	2.116953	0.069326
504.538680	2.116957	0.069508
505.597212	2.116987	0.069672
506.655667	2.116928	0.069798
507.714140	2.116892	0.069908
508.772559	2.116969	0.070050
509.831109	2.116917	0.070210
510.889476	2.116874	0.070372
511.947983	2.116911	0.070526
513.006387	2.116885	0.070694
514.064868	2.116900	0.070836
515.123287	2.116896	0.070986
516.181764	2.116850	0.071156
517.240137	2.116849	0.071302
518.298613	2.116855	0.071454
519.356992	2.116893	0.071608
520.415506	2.116892	0.071764
521.473884	2.116867	0.071924
522.532373	2.116864	0.072070
523.590748	2.116839	0.072220
524.649212	2.116806	0.072384
525.707554	2.116773	0.072536
526.765985	2.116792	0.072686
527.824346	2.116786	0.072840
528.882771	2.116770	0.073006
529.941116	2.116748	0.073180
530.999519	2.116699	0.073354
532.057815	2.116719	0.073530
533.116238	2.116783	0.073688
534.174598	2.116820	0.073852
535.233058	2.116719	0.074028
536.291317	2.116719	0.074194
537.349777	2.116807	0.074362
538.408124	2.116754	0.074532
539.466531	2.116735	0.074698
540.524859	2.116735	0.074874
541.583266	2.116732	0.075040
542.641591	2.116729	0.075198
543.699995	2.116689	0.075378
544.758280	2.116672	0.075552
545.816667	2.116639	0.075782
546.874919	2.116657	0.075946
547.933324	2.116692	0.076044
548.991611	2.116634	0.076230
550.049958	2.116612	0.076436
551.108223	2.116665	0.076602
552.166623	2.116681	0.076762
553.224904	2.116712	0.076940
554.283335	2.116725	0.077126
555.341629	2.116743	0.077314
556.400078	2.116753	0.077472
557.458382	2.116690	0.077624
558.516768	2.116631	0.077772
559.575013	2.116628	0.077930
560.633396	2.116721	0.078116
561.691734	2.116697	0.078292
562.750093	2.116620	0.078446
563.808354	2.116627	0.078608
564.866720	2.116787	0.078780
565.925141	2.116539	0.079070
566.983259	2.116458	0.079262
568.041599	2.116672	0.079334
569.099931	2.116610	0.079494
570.158209	2.116667	0.079666
571.216598	2.116675	0.079836
572.274884	2.116636	0.080012
573.333234	2.116599	0.080204
574.391483	2.116664	0.080442
575.449898	2.116579	0.080644
576.508062	2.116620	0.080768
577.566518	2.116614	0.080968
578.624676	2.116369	0.081156
579.682887	2.116501	0.081314
580.741177	2.116550	0.081498
581.799437	2.116503	0.081690
582.857680	2.116589	0.081880
583.916026	2.116517	0.082064
584.974197	2.116532	0.082258
586.032558	2.116610	0.082428
587.090807	2.116605	0.082598
588.149163	2.116563	0.082778
589.207370	2.116575	0.082964
590.265738	2.116576	0.083144
591.323946	2.116478	0.083308
592.382216	2.116430	0.083472
593.440376	2.116476	0.083644
594.498692	2.116532	0.083816
595.556908	2.116550	0.083980
596.615242	2.116560	0.084148
597.673468	2.116550	0.084332
598.731792	2.116558	0.084508
599.790026	2.116544	0.084688
600.848336	2.116522	0.084860
601.906548	2.116522	0.085024
602.964858	2.116524	0.085224
604.023072	2.116425	0.085380
605.081283	2.116246	0.085534
606.139318	2.116402	0.085732
607.197685	2.116687	0.085906
608.256005	2.116544	0.086122
609.314229	2.116237	0.086378
610.372242	2.116421	0.086568
611.430650	2.116551	0.086708
612.488793	2.116412	0.086878
613.547062	2.116420	0.087076
614.605213	2.116424	0.087266
615.663486	2.116444	0.087452
616.721657	2.116464	0.087654
617.779950	2.116449	0.087856
618.838106	2.116437	0.088056
619.896387	2.116394	0.088218
620.954500	2.116249	0.088424
622.012636	2.116238	0.088656
623.070738	2.116533	0.088868
624.129169	2.116502	0.089098
625.187240	2.116377	0.089288
626.245546	2.116427	0.089496
627.303667	2.116397	0.089710
628.361943	2.116400	0.089902
629.420067	2.116341	0.090110
630.478284	2.116319	0.090320
631.536386	2.116335	0.090520
632.594619	2.116322	0.090710
633.652708	2.116308	0.090896
