#Creator: pendulumEventBuffer
#Creation time: Thu Mar 31 09:08:41 2022
#Time	Period	Transit time
#[s]	[s]	[s]
648.129701	2.127611	0.058998
649.193511	2.127635	0.059130
650.257336	2.127656	0.059244
651.321167	2.127655	0.059350
652.384991	2.127644	0.059478
653.448811	2.127653	0.059606
654.512644	2.127622	0.059728
655.576433	2.127609	0.059834
656.640253	2.127637	0.059966
657.704070	2.127594	0.060112
658.767847	2.127608	0.060218
659.831678	2.127635	0.060336
660.895482	2.127574	0.060464
661.959252	2.127543	0.060572
663.023025	2.127564	0.060690
664.086816	2.127600	0.060812
665.150625	2.127650	0.060862
666.214466	2.127544	0.061000
667.278169	2.127495	0.061146
668.341961	2.127527	0.061258
669.405696	2.127488	0.061424
670.469449	2.127501	0.061546
671.533197	2.127488	0.061666
672.596937	2.127490	0.061778
673.660687	2.127518	0.061906
674.724455	2.127533	0.062050
675.788220	2.127510	0.062184
676.851965	2.127496	0.062306
677.915716	2.127472	0.062432
678.979437	2.127457	0.062562
680.043173	2.127502	0.062690
681.106939	2.127501	0.062814
682.170674	2.127452	0.062944
683.234391	2.127425	0.063078
684.298099	2.127431	0.063202
685.361822	2.127451	0.063336
686.425550	2.127434	0.063460
687.489256	2.127421	0.063552
688.552971	2.127344	0.063682
689.616600	2.127420	0.063844
690.680391	2.127542	0.063998
691.744142	2.127425	0.064116
692.807816	2.127371	0.064220
693.871513	2.127391	0.064366
694.935207	2.127446	0.064514
695.998959	2.127433	0.064662
697.062640	2.127320	0.064804
698.126279	2.127327	0.064930
699.189967	2.127346	0.065058
700.253625	2.127376	0.065198
701.317343	2.127429	0.065338
702.381054	2.127313	0.065484
703.444656	2.127292	0.065612
704.508346	2.127373	0.065760
705.572029	2.127228	0.065918
706.635574	2.127267	0.066060
707.699296	2.127381	0.066192
708.762955	2.127293	0.066318
709.826589	2.127259	0.066462
710.890214	2.127282	0.066616
711.953871	2.127240	0.066774
713.017454	2.127164	0.066912
714.081035	2.127143	0.067082
715.144597	2.127157	0.067270
716.208192	2.127260	0.067440
717.271857	2.127322	0.067634
718.335514	2.127339	0.067856
719.399196	2.127150	0.068016
720.462664	2.127159	0.068104
721.526355	2.127290	0.068230
722.589954	2.127243	0.068408
723.653598	2.127238	0.068568
724.717192	2.127218	0.068708
725.780816	2.127216	0.068840
726.844408	2.127195	0.068984
727.908011	2.127187	0.069154
728.971595	2.127171	0.069298
730.035182	2.127163	0.069432
731.098758	2.127161	0.069600
732.162343	2.127173	0.069778
733.225931	2.127163	0.069934
734.289506	2.127148	0.070076
735.353079	2.127157	0.070222
736.416663	2.127157	0.070366
737.480236	2.127156	0.070524
738.543819	2.127153	0.070678
739.607389	2.127190	0.070826
740.671009	2.127202	0.070982
741.734591	2.127156	0.071130
